categorie|marque|nom|nutritionGradeFr|ingredients|energie100g|graisse100g|sucres100g|fibres100g|proteines100g|sel100g|vitA100g|vitD100g|vitE100g|vitK100g|vitC100g|vitB1100g|vitB2100g|vitPP100g|vitB6100g|vitB9100g|vitB12100g|calcium100g|magnesium100g|iron100g|fer100g|betaCarotene100g|presenceHuilePalme|allergenes|additifs|
Desserts|Casino|Faisselle moulée à la main 6% de matières grasses sur produit fini|b|_Lait_ standardisé pasteurisé- _crème_ pasteurisée- ferments lactiques- présure animale.|341|6|3||3.5|0.1|||||||||||||||||0|en:milk||
Desserts|Casino|Pomme Bio|a|Purée de Pommes** 93% - sucre de canne** 7% - antioxydant : acide ascorbique - **Ingrédients issus de l'agriculture biologique.|356|0|19|2|0|0|||||||||||||||||0||E300 - Acide ascorbique|
Desserts|Casino|Compote Pomme Ananas Mangue|a|Purée de pommes 76%, purée d'ananas 15%, purée de mangues 9%, antioxydant : acide ascorbique, acidifiant : acide citrique.|218|0|12|1.9|0|0|||||||||||||||||0||E300 - Acide ascorbique,E330 - Acide citrique|
Desserts|Casino|Pocket - Spécialité de fruits sans sucres ajoutés gourde pomme|a|Pommes100% - antioxydant : acide ascorbique.|239|0|12|2.2|0|0|||||||||||||||||0||E300 - Acide ascorbique|
Desserts|Casino Bio, Casino|Purée de fruits Pomme sans sucres ajoutés|a|Purée de pommes* 100%. Cette purée ne contient que les sucres naturellement présents dans les fruits. *biologique|222|0|12|2.2|0|0|||||||||||||||||0|||
Desserts|Casino Bio,Casino|Petit pot de crème à la vanille Bourbon|c|_Lait_ entier* - sucre* - _crème_* 10.2% - _œufs_ frais* 9.5% -  jaune d'_œufs_ frais* 7% - _lait_ écrémé en poudre* - amidon de riz* - arôme naturel de vanille. Traces de _blé_ * biologique. Lait et crème origine : France. Les informations en _gras_ sont destinées aux personnes intolérantes ou allergiques.|683|7.8|16||5.2|0.14|||||||||||||||||0|en:eggs,en:milk||
Desserts|Casino Délices, Casino|Crème brûlée - Eclats de caramel|d|_Crème_ pasteurisée origine France 55.7% - _oeufs_ frais pasteurisés 12% - sucre - _lait_ écrémé pasteurisé origine France 9.7% - jaune d'_oeufs_ frais pasteurisé - caramel 4%- arôme.|1195|22|15|0.5|4.4|0.13|||||||||||||||||0|||
Desserts|Chabrior|Palets Recette à la Madeleine|d|Farine de _blé_ 43 %sucre, huile de colza, _œufs_, madeleines 5 %), beurre pâtissier, sirop de glucose de blé, sel, arôme, poudres à lever : carbonates de sodium et diphosphates, émulsifiants : lécithines.|2088|23.2|28.9||5.6|0.36|||||||||||||||||0|blé, œufs, blé, œuf, lait, soja, lait, soja|E322 - Lécithines,E450 - Sels métalliques de diphosphates,E500 - Carbonates de sodium|
Desserts|Chabrior|Langues de Chat|e|Farine de _blé_ 49%, sucre, huile de palme, lactose et protéines de _lait_, sel, dextrose de blé, arôme, blanc d'_oeuf_ en poudre, poudres à lever : diphosphates et carbonates de sodium.|1833|10.1|42.7|1.8|5.4|0.6|||||||||||||||||1|blé, lait, oeuf|E450 - Sels métalliques de diphosphates,E450i - Pyrophosphate de sodium acide,E500 - Carbonates de sodium|
Desserts|Chabrior,Intermarché|Galettes Bretonnes Pocket|e|Farine de blé 60 %, sucre, beurre concentré 18.4 %, _œufs_ frais, poudre de _lait_ écrémé, sel, poudres à lever : phosphates de calcium - carbonates de sodium - carbonates d'ammonium.|2000|18|25.4|0|6.3|0.7|||||||||||||||||0|œufs, lait|E341 - Phosphates de calcium,E500 - Carbonates de sodium,E503 - Carbonates d'ammonium|
Desserts|Charles & Alice|Végétal Lait d'Amandes et Framboises|b|Lait d’_amande_ 49 % (eau, purée d’_amandes_ 3.9 %, purée de framboises 22 %, purée de pommes 21 %, sucre, farine de maïs, amidons, pectines, farine fermentée de maïs, arômes naturels, antioxydant : acide ascorbique, ferments.|310|2.1|8.2||1.1|0.01|||||||||||||||||0|amande, amandes|E300 - Acide ascorbique,E440 - Pectines|
